Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
United Kingdom,1.09E+12,1.14E+12,1.18E+12,1.06E+12,1.14E+12,1.34E+12,1.41E+12,1.55E+12,1.64E+12,1.67E+12,1.65E+12,1.62E+12,1.77E+12,2.04E+12,2.40E+12,2.52E+12,2.69E+12,3.07E+12,2.89E+12,2.38E+12,2.44E+12,2.62E+12,2.66E+12,2.74E+12,3.02E+12,2.89E+12,2.65E+12,2.62E+12
Ghana,5889174825,6596546196,6413901602,5966255778,5444560669,6465137615,6934984709,6891308594,7480968858,7719354839,4983024408,5314909954,6166330136,7632406553,8881368538,10731634117,20409668522,24758819718,28526891010,25977847814,32174772956,39566292433,41939728979,63277216929,53601126664,49181854798,55009730600,58996776238
Greece,97891090929,1.05E+11,1.16E+11,1.09E+11,1.17E+11,1.37E+11,1.46E+11,1.43E+11,1.44E+11,1.43E+11,1.30E+11,1.36E+11,1.54E+11,2.02E+11,2.41E+11,2.48E+11,2.73E+11,3.18E+11,3.54E+11,3.30E+11,2.99E+11,2.88E+11,2.46E+11,2.40E+11,2.37E+11,1.96E+11,1.93E+11,2.00E+11
Guatemala,7650125217,9406097735,10440842165,11399942453,12983235568,14655404433,15674835615,17790026222,19395491993,18318412251,19288827159,18702802784,20776669473,21917706485,23965276000,27211377220,30231249362,34113107085,39136954238,37734072276,41338521642,47654783851,50388460920,53851148432,58722323918,63767597194,68663653469,75620095538
Guyana,396582263.3,348533094.8,373573141.5,454101382.5,540874934.2,621626785.9,705406001.4,749138009.6,717530683.2,694754988.3,712667896.7,712167575.6,726131434.7,743064076.8,787814379.2,824880550.3,1458453715,1740180444,1916996252,2061324146,2273224261,2576024016,2861560061,2987684143,3077643261,3197222215,3504024213,3621046005
High income,1.91E+13,2.02E+13,2.18E+13,2.20E+13,2.35E+13,2.61E+13,2.64E+13,2.60E+13,2.61E+13,2.73E+13,2.79E+13,2.76E+13,2.86E+13,3.21E+13,3.57E+13,3.78E+13,3.99E+13,4.37E+13,4.65E+13,4.36E+13,4.57E+13,4.94E+13,4.95E+13,5.00E+13,5.10E+13,4.83E+13,4.93E+13,5.15E+13
"Hong Kong SAR, China",76928290842,88959620136,1.04E+11,1.20E+11,1.36E+11,1.45E+11,1.60E+11,1.77E+11,1.69E+11,1.66E+11,1.72E+11,1.69E+11,1.66E+11,1.61E+11,1.69E+11,1.82E+11,1.94E+11,2.12E+11,2.19E+11,2.14E+11,2.29E+11,2.49E+11,2.63E+11,2.76E+11,2.91E+11,3.09E+11,3.21E+11,3.41E+11
Honduras,4923009552,4648668470,4943700428,4926728939,4642280683,5347445008,5215028988,5737099646,6366340268,6414520532,7103507989,7565869928,7775078403,8140271081,8772194250,9672035709,10841742348,12275501784,13789715133,14587496229,15839344592,17710315006,18528601901,18499710128,19756494435,20979767785,21643936939,22978532897
Heavily indebted poor countries (HIPC),1.34E+11,1.39E+11,1.27E+11,1.31E+11,1.16E+11,1.32E+11,1.37E+11,1.44E+11,1.48E+11,1.48E+11,1.59E+11,1.51E+11,1.63E+11,1.86E+11,2.14E+11,2.47E+11,2.95E+11,3.53E+11,4.26E+11,4.28E+11,4.73E+11,5.29E+11,5.69E+11,6.35E+11,6.71E+11,6.65E+11,6.73E+11,7.43E+11
Haiti,3096289800,3473540602,2257121668,1878248741,2167564195,2813313279,2907514523,3338938830,3723909227,4153736347,3953846311,3596443005,3472191962,2960306121,3537720277,4310358096,4756204070,5885325590,6548530572,6584649419,6622541529,7516834160,7890216508,8452509316,8776350790,8724656126,7970649131,8408150518
IBRD only,3.45E+12,3.72E+12,3.71E+12,3.98E+12,4.35E+12,4.88E+12,5.34E+12,5.65E+12,5.50E+12,5.34E+12,5.80E+12,5.89E+12,5.98E+12,6.73E+12,8.01E+12,9.58E+12,1.14E+13,1.41E+13,1.70E+13,1.65E+13,2.00E+13,2.36E+13,2.51E+13,2.66E+13,2.75E+13,2.59E+13,2.60E+13,2.87E+13
IDA & IBRD total,3.79E+12,4.06E+12,4.04E+12,4.29E+12,4.65E+12,5.23E+12,5.73E+12,6.06E+12,5.90E+12,5.75E+12,6.25E+12,6.33E+12,6.46E+12,7.27E+12,8.65E+12,1.03E+13,1.23E+13,1.52E+13,1.82E+13,1.77E+13,2.14E+13,2.53E+13,2.69E+13,2.85E+13,2.96E+13,2.80E+13,2.81E+13,3.08E+13
IDA total,3.41E+11,3.47E+11,3.33E+11,3.17E+11,3.07E+11,3.53E+11,3.87E+11,4.02E+11,4.05E+11,4.15E+11,4.53E+11,4.49E+11,4.84E+11,5.45E+11,6.40E+11,7.48E+11,9.17E+11,1.07E+12,1.29E+12,1.27E+12,1.46E+12,1.66E+12,1.79E+12,1.97E+12,2.13E+12,2.09E+12,2.03E+12,2.13E+12
IDA blend,1.48E+11,1.50E+11,1.48E+11,1.32E+11,1.35E+11,1.56E+11,1.73E+11,1.77E+11,1.74E+11,1.81E+11,1.99E+11,2.00E+11,2.21E+11,2.48E+11,3.03E+11,3.64E+11,4.71E+11,5.44E+11,6.48E+11,6.06E+11,7.07E+11,8.16E+11,8.99E+11,9.77E+11,1.06E+12,1.00E+12,9.29E+11,9.24E+11
IDA only,1.91E+11,1.95E+11,1.83E+11,1.85E+11,1.70E+11,1.95E+11,2.12E+11,2.23E+11,2.28E+11,2.31E+11,2.52E+11,2.47E+11,2.61E+11,2.94E+11,3.33E+11,3.79E+11,4.40E+11,5.23E+11,6.35E+11,6.56E+11,7.43E+11,8.39E+11,8.86E+11,9.84E+11,1.06E+12,1.08E+12,1.10E+12,1.21E+12
